Sl No,Bus Stop Name,New Km,Sem Fees,Route,R.No
131,INUNGUR COLONY,39,8750,COLLEGE TO INUNGUR,26
132,IRUMPUTHIPATTI,32,8250,COLLEGE TO IRUMPOOTHIPATTI,34
133,IRUPPUKOLLI,48,9750,COLLEGE TO PANJAPPATTI,29
134,IYERMALAI,29,7750,COLLEGE TO IRUMPOOTHIPATTI,34
135,JADAMANGALAM,41,9250,COLLEGE TO VALASIRAMANI,23
136,JEEYAPURAM,44,9250,COLLEGE TO SOMARASAMPETTAI,3
137,JEMUNATHAPURAM,31,8250,"COLLEGE TO KANNANUR,THURAIYUR",28
138,K.N.PATTI,47,9750,COLLEGE TO KARAVALLI,11
139,K.N.PATTI SANDHAI,48,9750,COLLEGE TO BELUKURICHI,10
140,K.PETTAI,22,7500,COLLEGE TO LALAPET,41
141,K.UDAYAPATTI,57,10500,COLLEGE TO MANAPARAI,7
142,KADAKKAL PUTHUR,25,7500,COLLEGE TO KONDICHETTIPATTI,31
143,KADAMBAR KOVIL,21,7500,COLLEGE TO ETTARAI,15
144,KADIYAKURICHI,45,9250,COLLEGE TO BHEL,1
145,KADIYAKURICHI GATE,45,9250,COLLEGE TO SOMARASAMPETTAI,3
146,KADUVATTI,16,6500,COLLEGE TO KATTUPUTHUR,40
147,KAILASA NAGAR,73,11250,COLLEGE TO BHEL,1
148,KAKAMPATTI,40,8750,COLLEGE TO NACHALUR,19
149,KALAIMAGAL SCHOOL,27,7750,COLLEGE TO PALAPATTI,24
150,KALAINGAR ARIVALAYAM,55,10250,COLLEGE TO SOMARASAMPETTAI,3
151,KALANGANI,46,9750,COLLEGE TO RASIPURAM,5
152,KALANGANI,49,9750,COLLEGE TO THIRUMALAI PATTI,14
153,KALATHU PATTY,55,10250,COLLEGE TO MANAPARAI,7
154,KALICHETTI PATTI ,27,7750,COLLEGE TO PALAYAPALAYAM,30
155,KALICHETTI PATTI PUTHUR,26,7750,COLLEGE TO PALAYAPALAYAM,30
156,KALINAYAKANUR,42,9250,COLLEGE TO KANDHAMPALAYAM,4
157,KALINGAPATTI,58,10500,COLLEGE TO MANAPARAI,7
158,KALLUPATTI,22,7500,COLLEGE TO NACHALUR,19
159,KALLURPATTI,6,4500,COLLEGE to KARUR,25
160,KALPARAI,35,8250,COLLEGE TO VALASIRAMANI,23
161,KALPARAI 4 ROAD,34,8250,COLLEGE TO VALASIRAMANI,23
162,KALTERI BUNK,56,10500,COLLEGE TO BELUKURICHI,10
163,KALUGUR,43,9250,COLLEGE TO THOGAIMALAI,21
